Latitude,Longitude
40.642803,-73.988792
40.807323,-73.94799
40.676991,-73.775841
40.783382,-73.847801
40.780689,-73.959534
40.758343,-73.989769
40.729618,-73.980049
40.635803,-73.984558
40.685558,-73.96785
40.819092,-73.906464
40.799278,-73.94252
40.880001,-73.882828
40.75658,-73.92131
40.658802,-73.960785
40.735023,-73.995941
40.743267,-73.99823
40.781857,-73.948456
40.733894,-73.981361
40.68829,-73.937622
40.81525,-73.938995
40.82243,-73.915276
40.631618,-73.984512
40.762768,-73.963127
40.814121,-73.939743
40.830299,-73.945358
40.762245,-73.964195
40.700272,-73.919418
40.586807,-74.09481
40.691982,-73.973373
40.737858,-73.902977
40.748318,-73.879784
40.86681,-73.921486
40.736301,-73.955971
40.781857,-73.948456
40.845074,-73.901901
40.728981,-73.954422
40.761795,-73.912109
40.63512,-74.076363
40.741371,-73.995537
40.735043,-73.98632
40.721207,-73.99984
40.671638,-73.869774
40.583576,-73.937653
40.755753,-73.885727
40.800808,-73.955185
40.729618,-73.980049
40.839581,-73.880806
40.677647,-73.923508
40.677055,-73.905296
40.757385,-73.968102
40.663261,-73.942314
40.744713,-73.987808
40.802479,-73.951416
40.814941,-73.866524
40.690002,-73.925896
40.713982,-73.958717
40.666096,-73.990898
40.704819,-73.834419
40.733376,-74.005615
40.723991,-74.003799
40.791313,-73.939224
40.795582,-73.934937
40.815681,-73.86805
40.83416,-73.872231
40.715576,-74.009842
40.754826,-73.994385
40.864738,-73.925255
40.805653,-73.939529
40.668297,-73.930901
40.631618,-73.984512
40.635719,-73.983078
40.659843,-73.892494
40.658405,-73.895737
40.767342,-73.915215
40.747089,-73.983734
40.777981,-73.954971
40.777981,-73.954971
40.675835,-73.95459
40.65506,-73.938164
40.65506,-73.938164
40.674126,-73.907013
40.603657,-74.102882
40.83746,-73.946533
40.71796,-74.00412
40.796501,-73.961823
40.844444,-73.889679
40.662849,-73.993187
40.768391,-73.921158
40.600273,-73.99646
40.796497,-73.934334
40.796288,-73.948425
40.81591,-73.945786
40.856365,-73.864487
40.73455,-73.955208
40.680721,-73.96489
40.694031,-73.968674
40.598106,-73.987831
40.728077,-73.865318
40.744713,-73.987808
40.718388,-74.006081
40.71796,-74.00412
40.772713,-73.949821
40.775169,-73.983757
40.735043,-73.98632
40.723892,-73.994728
40.886726,-73.86409
40.714058,-73.957382
40.70927,-73.948395
40.680099,-73.979202
40.673386,-73.887543
40.71413,-73.96389
40.735043,-73.98632
40.850578,-73.939201
40.732399,-74.009811
40.851803,-73.937599
40.84198,-73.870621
40.642895,-73.950356
40.680779,-73.927818
40.606331,-74.001984
40.644913,-73.932854
40.722004,-73.992271
40.740784,-73.994911
40.729073,-73.989899
40.854832,-73.866417
40.713982,-73.958717
40.744789,-73.863899
40.788834,-73.948448
40.727417,-73.983429
40.698402,-73.915382
40.673992,-73.914551
40.721256,-74.002823
40.724632,-73.939346
40.844318,-73.89138
40.56562,-74.104179
40.748257,-73.979622
40.723892,-73.994728
40.78986,-73.979485
40.727623,-73.957443
40.711796,-73.91703
40.738071,-73.999268
40.738102,-73.999344
40.832947,-73.944717
40.687054,-73.970406
40.84285,-73.918587
40.698776,-73.935326
40.675892,-73.983696
40.602333,-73.963158
40.662983,-73.956741
40.633614,-74.11235
40.719467,-74.003136
40.719467,-74.003136
40.719688,-74.002739
40.819988,-73.953224
40.693153,-73.96711
40.613243,-74.00145
40.644173,-73.996269
40.762814,-73.963341
40.677139,-73.909149
40.867878,-73.918556
40.664024,-73.991341
40.685802,-73.920334
40.623596,-73.962723
40.69471,-73.965446
40.709015,-74.014496
40.771572,-73.961693
40.726627,-73.98539
40.613243,-74.00145
40.709015,-74.014496
40.678169,-73.912651
40.719181,-74.009621
40.822266,-73.924553
40.841015,-73.915222
40.811752,-73.924255
40.69244,-73.947098
40.622852,-73.962555
40.725819,-73.990105
40.721439,-73.982498
40.673992,-73.914551
40.744148,-74.00116
40.710247,-73.774124
40.675865,-73.941429
40.800503,-73.947151
40.834503,-73.946465
40.692314,-73.913155
40.773598,-73.922783
40.796288,-73.948425
